nm,RealReflectance,SimulatedReflectance
774.0,9.210543,7.669054979085919
775.0,9.246762,7.6688594245910595
776.0,9.386586,7.66825065851211
777.0,9.286627,7.6680496072769095
778.0,9.169903,7.666973019838331
779.0,9.308204,7.66626905202865
780.0,9.386958,7.6660680103302
781.0,9.216799,7.665999430418011
782.0,9.186918,7.6657745957374495
783.0,9.391785,7.6651975929737
784.0,9.378319,7.664994742870331
785.0,9.14025,7.66379427194595
786.0,9.25907,7.6632172799110405
787.0,9.452704,7.663016269207
788.0,9.27195,7.66294831633567
789.0,9.125527,7.66272350668907
790.0,9.35038,7.66214653372764
791.0,9.448895,7.66195346593856
792.0,9.175112,7.66087326169014
793.0,9.160937,7.66067898511886
794.0,9.446701,7.659976898431769
795.0,9.331068,7.659910800456999
796.0,9.061688,7.65971592068672
797.0,9.227848,7.6591334772109905
798.0,9.517013,7.658940433263769
799.0,9.314972,7.657867574691769
800.0,9.057651,7.65767515301704
