,nm,Ref-0,Ref-5,Ref-10,Ref-15,Ref-20,Ref-45,Ref-50,Ref-55,Ref-60
52,352.0,2.28290135204792,2.2835118652142503,2.28650911070555,2.29520930882841,2.3155619086839203,3.27182725437246,4.00343096855962,5.2213633427523,7.2339047170908195
53,353.0,2.2816715126752802,2.2821946221206297,2.28494656943157,2.2933674100719297,2.31356600302644,3.26883926421832,3.99803512201383,5.21499472373975,7.22639756614118
54,354.0,2.27926577573083,2.27963840231373,2.2822270790547097,2.29109223236516,2.31130178227685,3.26738886486534,3.9967304864042403,5.21821058359267,7.23230539785949
55,355.0,2.27527113592624,2.27645289578735,2.28009724868796,2.2888453898873102,2.30927095272615,3.26437851199554,3.9947256577325,5.21226066989032,7.2317600350135
56,356.0,2.27374452122636,2.27476103919632,2.27833542724251,2.28682177483551,2.3070293821156,3.26249052847456,3.99106413644263,5.20921915596863,7.22143413223698
57,357.0,2.27122599189914,2.27202722583189,2.27546945466101,2.28442916301973,2.30495026276595,3.2585167041096796,3.99011130499849,5.208450531709,7.21766515493486
58,358.0,2.27049520218372,2.27107083854004,2.27398449808806,2.2824900277391,2.30277945903539,3.25719706845981,3.98518493767566,5.2033198230477,7.215972279838099
59,359.0,2.26935280940532,2.26983901773355,2.27251072400808,2.28073863151185,2.30068876351863,3.2540736884521295,3.9846487962659403,5.1962315261664695,7.216991511302901
60,360.0,2.2668934303101103,2.2672341584917097,2.2697434051357197,2.27854806995429,2.29878007590621,3.2532143822503197,3.9812648168643,5.1970647221761705,7.20984869098113
61,361.0,2.26293981146402,2.2641143234007,2.26776117079332,2.27643975948132,2.2967422975935,3.24917637095078,3.9743770456264698,5.1975227045685894,7.20563906421559
62,362.0,2.26153135626316,2.26254055565372,2.26612459931671,2.2745754965767198,2.29467596729546,3.2466073712875096,3.97394310783417,5.18924165016543,7.1947602098556205
63,363.0,2.25907107048779,2.25988762135282,2.26333835698775,2.27234377871379,2.2926443981449998,3.24455062343664,3.97078174558151,5.18461826631892,7.190916036151441
64,364.0,2.25842949229292,2.25899511389695,2.26188867669031,2.27044169173426,2.29072792482338,3.2427553865589203,3.9685995117935304,5.18936200610967,7.199994745732
65,365.0,2.25722677443027,2.2577333393685497,2.2604671861350503,2.26876301519162,2.2887877444256,3.24034922414468,3.96609489773539,5.18153250731453,7.18426287172995
66,366.0,2.25509793803691,2.2554533538155197,2.25799461360126,2.26671002657786,2.28688088452145,3.2360032470332403,3.9647802607382596,5.177938083103109,7.188502634095211
67,367.0,2.2512953907191697,2.252479980015,2.25603339713066,2.26472274517454,2.28493464375883,3.23618582123806,3.9635297873822,5.17522882908899,7.18105846844567
68,368.0,2.24966395337581,2.2507327231570997,2.25435668794549,2.26291270958743,2.2829661156639403,3.2337533627722395,3.960775908506,5.17024383644405,7.177001402874381
69,369.0,2.24761618080139,2.24844040567055,2.25192852898314,2.26082911107167,2.2811447599776,3.23156608962211,3.9541810072188195,5.1634844762979,7.18626180373001
70,370.0,2.24639302761219,2.24706764060556,2.25021612042598,2.2589634058404697,2.2792107795242202,3.2279934589101904,3.9567391854122196,5.16650140662454,7.17222994990479
71,371.0,2.2454414234399698,2.24604134659171,2.24893630562275,2.25728398618064,2.27744473429881,3.2265737577741898,3.95153695014435,5.16003972225086,7.16972414143411
72,372.0,2.2436059894777802,2.24405470699965,2.24685471578575,2.2555816750179902,2.27563631635494,3.2244573303377195,3.94932272503897,5.159877525506721,7.1658193955947596
73,373.0,2.24237430884838,2.24265773565955,2.2450606700990297,2.25375449420213,2.2736864999890303,3.22284886962138,3.94734459392521,5.15511453057303,7.1687338994516
74,374.0,2.23851246490888,2.239674468901,2.24328645589314,2.2519167152334,2.27205711856074,3.22142078601121,3.9465195815958,5.15363784235464,7.1609464250501205
75,375.0,2.23717711617127,2.2382092509936498,2.24180003600865,2.25022024258151,2.27027678021527,3.2179879433361798,3.9440124191733,5.15193223495269,7.15785686821593
76,376.0,2.2352921863079,2.23606209175959,2.2394079296749,2.248228253863,2.2684939966809,3.21522350822156,3.94076284276451,5.15062502773981,7.15932676774896
77,377.0,2.23414444249793,2.2347822491284397,2.2378450403809502,2.24647182699404,2.26666482841186,3.21318761494681,3.93839593467209,5.1509214334771904,7.15276286479616
